actor,person,episodes,start_year,end_year
Johnny Galecki,Leonard Hofstadter,264,2006,2018
Jim Parsons,Sheldon Cooper,264,2006,2018
Kaley Cuoco,Penny,263,2007,2018
Simon Helberg,Howard Wolowitz,263,2007,2018
Kunal Nayyar,Raj Koothrappali,263,2007,2018
Melissa Rauch,Bernadette Rostenkowski,193,2009,2018
Mayim Bialik,Amy Farrah Fowler,187,2010,2018
Kevin Sussman,Stuart Bloom,76,2009,2018
Carol Ann Susi,Debbie Wolowitz,40,2007,2017
John Ross Bowie,Barry Kripke,23,2009,2018
Laura Spencer,Emily Sweeney,17,2014,2017
Wil Wheaton,Wil Wheaton,16,2009,2018
Brian George,Dr. V.M. Koothrappali,15,2007,2018
Laurie Metcalf,Mary Cooper,14,2007,2018
Christine Baranski,Dr. Beverly Hofstadter,13,2009,2018
Aarti Mann,Priya Koothrappali,12,2010,2011
Brian Posehn,Bert Kibbler,12,2013,2018
Ian Scott Rudolph,Captain Sweatpants,12,2009,2014
Alice Amter,Mrs. Koothrappali,10,2007,2015
Sara Gilbert,Leslie Winkle,9,2007,2016
Brian Thomas Smith,Zack Johnson,9,2010,2017
Kate Micucci,Lucy,8,2013,2017
Pamela Adlon,Halley Wolowitz,8,2016,2018
Stephen Hawking,Stephen Hawking,7,2012,2017
Bob Newhart,Arthur Jeffries,6,2013,2018
Casey Sander,Mike Rostenkowski,6,2012,2015
Dean Norris,Colonel Richard Williams,6,2016,2017
Michael J. Massimino,Mike Massimino,6,2012,2014
Vernee Watson,Althea,6,2006,2016
Joshua Malina,President Siebert,6,2011,2018
Mark Harelik,Dr. Eric Gablehauser,5,2007,2008
Regina King,Janine Davis,5,2013,2017
Alessandra Torresani,Claire,5,2016,2017
Pasha D. Lychnikoff,Dimitri,5,2012,2012
Ed Lieberman,Announcer,5,2010,2018
Robert Clotworthy,Announcer,5,2008,2015
Margo Harshman,Alex Jensen,4,2012,2013
Keith Carradine,Wyatt,4,2010,2018
Lauren Lapkus,Denise,4,2018,2018
Sara Rue,Dr. Stephanie Barnett,3,2008,2008
Brian Patrick Wade,Kurt,3,2007,2009
LeVar Burton,LeVar Burton,3,2011,2014
Stephen Merchant,Dave Gibbs,3,2015,2015
Riki Lindhome,Ramona Nowitzki,3,2008,2017
Kimberly Brooks,Computer,3,2007,2017
Ira Flatow,Ira Flatow,3,2009,2017
Swati Kapila,Ruchi,3,2017,2017
Marcus Folmar,Guard,3,2010,2016
Jerry O'Connell,"George Cooper, Jr.",3,2018,2018
Rati Gupta,Anu,3,2018,2018
James Hong,Chen,2,2007,2008
Erin Allin O'Reilly,Cheryl,2,2007,2008
Analeigh Tipton,Analeigh Tipton,2,2008,2015
Molly Morgan,Bethany,2,2009,2015
Neil deGrasse Tyson,Neil deGrasse Tyson,2,2010,2018
Katee Sackhoff,Katee Sackhoff,2,2009,2010
Elena Campbell-Martinez,Maria,2,2008,2015
David Trice,Waiter,2,2010,2013
Kevin Brief,Glen,2,2010,2012
Dakin Matthews,Santa,2,2012,2014
Stephen Root,Dan,2,2014,2014
Kathy Bates,Mrs. Fowler,2,2018,2018
Katie Leclerc,Emily,2,2011,2017
Josh Brener,Dale,2,2011,2013
Bill Nye,Bill Nye,2,2013,2018
Jim Meskimen,Doctor,2,2015,2015
Michelle Arthur,Mrs. Petrescu,2,2016,2018
Annie O'Donnell,Mrs. Fowler,2,2010,2014
Alex Ball,Waiter,2,2013,2014
