actor,person,episodes,start_year,end_year
Peter Dinklage,Tyrion Lannister,61,2011,2017
Lena Headey,Cersei Lannister,58,2011,2017
Emilia Clarke,Daenerys Targaryen,56,2011,2017
Kit Harington,Jon Snow,56,2011,2017
Sophie Turner,Sansa Stark,54,2011,2017
Maisie Williams,Arya Stark,53,2011,2017
Nikolaj Coster-Waldau,Jaime Lannister,49,2011,2017
Iain Glen,Jorah Mormont,48,2011,2017
Alfie Allen,Theon Greyjoy,43,2011,2017
John Bradley,Samwell Tarly,43,2011,2017
Aidan Gillen,Petyr 'Littlefinger' Baelish,41,2011,2017
Conleth Hill,Lord Varys,41,2011,2017
Gwendoline Christie,Brienne of Tarth,37,2012,2017
Liam Cunningham,Davos Seaworth,36,2012,2017
Isaac Hempstead Wright,Bran Stark,35,2011,2017
Jerome Flynn,Bronn,34,2011,2017
Nathalie Emmanuel,Missandei,34,2013,2017
Rory McCann,Sandor 'The Hound' Clegane,33,2011,2017
Julian Glover,Grand Maester Pycelle,31,2011,2016
Ben Crompton,Eddison Tollett,30,2012,2017
Daniel Portman,Podrick Payne,30,2012,2017
Carice van Houten,Melisandre,28,2012,2017
Kristofer Hivju,Tormund Giantsbane,28,2013,2017
Jacob Anderson,Grey Worm,28,2013,2017
Charles Dance,Tywin Lannister,27,2011,2015
Natalie Dormer,Margaery Tyrell,26,2012,2016
Jack Gleeson,Joffrey Baratheon,26,2011,2014
Michelle Fairley,Catelyn Stark,25,2011,2013
Ian McElhinney,Barristan Selmy,25,2011,2015
Stephen Dillane,Stannis Baratheon,24,2012,2015
Hannah Murray,Gilly,24,2012,2017
Kristian Nairn,Hodor,23,2011,2016
Mark Stanley,Grenn,22,2011,2014
Richard Madden,Robb Stark,21,2011,2013
Finn Jones,Loras Tyrell,21,2011,2016
Sibel Kekilli,Shae,20,2011,2014
Iwan Rheon,Ramsay Bolton,20,2013,2016
Michael McElhatton,Roose Bolton,19,2012,2016
Owen Teale,Alliser Thorne,19,2011,2016
Joe Dempsie,Gendry,19,2011,2017
Anton Lesser,Qyburn,19,2013,2017
Michiel Huisman,Daario Naharis,18,2014,2016
Diana Rigg,Olenna Tyrell,18,2013,2017
Dean-Charles Chapman,Tommen Baratheon,18,2013,2016
Rose Leslie,Ygritte,17,2012,2014
Tom Wlaschiha,Jaqen H'ghar,17,2012,2016
Brenock O'Connor,Olly,17,2014,2016
Ian Beattie,Meryn Trant,17,2011,2015
Natalia Tena,Osha,16,2011,2016
Ellie Kendrick,Meera Reed,16,2013,2017
Eugene Simon,Lancel Lannister,16,2011,2016
Dominic Carter,Janos Slynt,15,2011,2015
Ian Whyte,Wun Wun,15,2011,2017
Donald Sumpter,Maester Luwin,14,2011,2012
Gemma Whelan,Yara Greyjoy,14,2012,2017
Hafþór Júlíus Björnsson,Gregor Clegane,14,2014,2017
Esmé Bianco,Ros,14,2011,2013
Art Parkinson,Rickon Stark,14,2011,2016
Brian Fortune,Othell Yarwyck,14,2011,2016
Indira Varma,Ellaria Sand,13,2014,2017
Ron Donachie,Rodrik Cassel,13,2011,2012
Roger Ashton-Griffiths,Mace Tyrell,13,2014,2016
Josef Altin,Pypar,13,2011,2014
Amrita Acharia,Irri,13,2011,2012
Jonathan Pryce,High Sparrow,12,2015,2016
James Cosmo,Jeor Mormont,12,2011,2013
Ian Gelder,Kevan Lannister,12,2011,2016
Luke Barnes,Rast,12,2011,2014
Ben Hawkey,Hot Pie,12,2011,2017
Oona Chaplin,Talisa Stark,11,2012,2013
Peter Vaughan,Maester Aemon,11,2011,2015
Faye Marsay,The Waif,11,2015,2016
Roxanne McKee,Doreah,11,2011,2012
Sean Bean,Eddard 'Ned' Stark,11,2011,2013
Paul Kaye,Thoros of Myr,10,2013,2017
Tara Fitzgerald,Selyse Baratheon,10,2013,2015
Thomas Brodie-Sangster,Jojen Reed,10,2013,2014
Kerry Ingram,Shireen Baratheon,10,2013,2015
Michael Condron,Bowen Marsh,10,2015,2016
Jason Momoa,Khal Drogo,10,2011,2012
Richard Dormer,Beric Dondarrion,9,2013,2017
Rosabell Laurenti Sellers,Tyene Sand,9,2015,2017
Rupert Vansittart,Yohn Royce,9,2014,2017
Gethin Anthony,Renly Baratheon,8,2011,2012
Tobias Menzies,Edmure Tully,8,2013,2016
Noah Taylor,Locke,8,2013,2014
Keisha Castle-Hughes,Obara Sand,8,2015,2017
Joel Fry,Hizdahr zo Loraq,8,2014,2015
Jessica Henwick,Nymeria Sand,8,2015,2017
Richard Rycroft,Maester Wolkan,8,2016,2017
Hannah Waddingham,Septa Unella,8,2015,2016
Charlotte Hope,Myranda,8,2013,2016
Steven Cole,Kovarro,8,2012,2012
Lino Facioli,Robin Arryn,8,2011,2016
Callum Wharry,Tommen Baratheon,8,2011,2012
Aimee Richardson,Myrcella Baratheon,8,2011,2012
Mark Addy,Robert Baratheon,7,2011,2011
Pedro Pascal,Oberyn Martell,7,2014,2014
Francis Magee,Yoren,7,2011,2012
Clive Russell,Brynden 'Blackfish' Tully,7,2013,2016
Will Tudor,Olyvar,7,2013,2015
Staz Nair,Qhono,7,2016,2017
Elyes Gabel,Rakharo,7,2011,2012
Josephine Gillan,Marei,7,2012,2016
David Bradley,Walder Frey,6,2011,2017
Joseph Mawle,Benjen Stark,6,2011,2017
Pilou Asbæk,Euron Greyjoy,6,2016,2017
Mackenzie Crook,Orell,6,2013,2013
Deobia Oparei,Areo Hotah,6,2015,2016
Susan Brown,Septa Mordane,6,2011,2011
Tim Plester,Black Walder Rivers,6,2013,2016
Dar Salim,Qotho,6,2011,2011
Tony Way,Dontos Hollard,6,2012,2014
Nell Tiger Free,Myrcella Baratheon,6,2015,2016
Philip McGinley,Anguy,6,2013,2013
Paul Bentley,High Septon,6,2013,2015
Sara Dylan,Bernadette,6,2012,2017
Dennis McKeever,Night's Watch Officer,6,2011,2013
Harry Lloyd,Viserys Targaryen,5,2011,2011
