actor,person,episodes,start_year,end_year
Josh Radnor,Ted Mosby,208,2005,2014
Jason Segel,Marshall Eriksen,208,2005,2014
Cobie Smulders,Robin Scherbatsky,208,2005,2014
Neil Patrick Harris,Barney Stinson,208,2005,2014
Alyson Hannigan,Lily Aldrin,208,2005,2014
Lyndsy Fonseca,Daughter,65,2005,2014
David Henrie,Son,65,2005,2014
Cristin Milioti,Tracy McConnell,25,2013,2014
Marshall Manesh,Ranjit,21,2005,2014
Joe Nieves,Carl,19,2005,2014
Charlene Amoia,Wendy,17,2005,2011
Ashley Williams,Victoria,17,2006,2014
Suzie Plakson,Judy,15,2005,2014
Jennifer Morrison,Zoey,13,2010,2014
Wayne Brady,James,14,2006,2014
Bill Fagerbakke,Marvin Sr.,12,2005,2014
Ellen D. Williams,Patrice,12,2011,2014
Chris Elliott,Mickey,12,2009,2014
Robert Belushi,Linus,11,2013,2014
Ned Rolsma,Marcus,11,2005,2013
Becki Newton,Quinn,11,2012,2013
Sarah Chalke,Stella Zinman,12,2008,2014
Kal Penn,Kevin,10,2011,2014
Alexis Denisof,Sandy Rivers,10,2006,2014
Nazanin Boniadi,Nora,10,2011,2014
Ron Nicolosi,Mike,10,2006,2013
Frances Conroy,Loretta,11,2009,2014
Sherri Shepherd,Daphne,8,2013,2013
Bob Odenkirk,Arthur,8,2008,2012
Gita Isak,Answering Machine,8,2005,2013
Kyle MacLachlan,The Captain,7,2010,2014
Joe Manganiello,Brad,7,2006,2012
Michael Trucco,Nick,7,2011,2012
Matt Boren,Stuart,7,2006,2013
Cristine Rose,Virginia,7,2006,2014
David Burtka,Scooter,7,2006,2014
William Zabka,Billy Zabka,7,2013,2014
Benjamin Koldyke,Don,6,2009,2010
Bryan Callen,Bilson,6,2006,2009
Ray Wise,Robin Sr.,6,2011,2014
Taran Killam,Blauman,6,2006,2014
Robert Michael Ryan,Marvin Jr.,6,2005,2012
Alan Thicke,Alan Thicke,5,2008,2013
Laura Bell Bundy,Becky,5,2010,2014
Abby Elliott,Jeanette,5,2013,2014
Virginia Williams,Claudia,5,2006,2013
Darcy Rose Byrnes,Lucy,5,2008,2008
Roger Bart,Curtis,5,2013,2014
Tim Gunn,Tim Gunn,5,2010,2014
Rachel Bilson,Cindy,4,2010,2014
Chris Romano,Punchy,4,2008,2011
Ben Vereen,Sam,5,2010,2014
John Lithgow,Jerry,4,2011,2014
April Bowlby,Meg,4,2007,2014
Bruce Gray,Yuthers,4,2011,2012
Edward Flores,Food Guy,4,2009,2011
Marieve Herington,Betty,4,2009,2011
Monique Edwards,Producer,4,2005,2007
Koby Rouviere,Young Marshall,4,2009,2012
Katie Walder,Shannon,4,2006,2014
Laura Prepon,Karen,3,2009,2010
Martin Short,Garrison Cootes,3,2011,2012
Bryan Cranston,Hammond Druthers,3,2006,2013
K Callan,Grandma Lois,3,2007,2012
