actor,person,episodes,start_year,end_year
Gabriel Macht,Harvey Specter,118,2011,2018
Rick Hoffman,Louis Litt,118,2011,2018
Sarah Rafferty,Donna Paulsen,118,2011,2018
Patrick J. Adams,Mike Ross,108,2011,2018
Meghan Markle,Rachel Zane,108,2011,2018
Gina Torres,Jessica Pearson,94,2011,2018
Amanda Schull,Katrina Bennett,33,2013,2018
Wendell Pierce,Robert Zane,28,2013,2018
Aloma Wright,Gretchen,25,2015,2018
Rachael Harris,Sheila Sazs,21,2012,2018
Dulé Hill,Alex Williams,19,2017,2018
Christina Cole,Dr. Paula Agard,17,2015,2018
D.B. Woodside,Jeff Malone,16,2014,2018
Max Topplin,Harold Gunderson,16,2011,2016
Neal McDonough,Sean Cahill,15,2014,2016
David Costabile,Daniel Hardman,14,2012,2015
Abigail Spencer,Dana Scott,14,2011,2018
John Pyper-Ferguson,Jack Soloff,14,2015,2018
Jordan Johnson-Hinds,Oliver Grady,14,2017,2018
Paul Schulze,Frank Gallo,12,2016,2017
Brandon Firla,Jonathan Sidwell,12,2013,2015
Ray Proscia,Dr. Lipschitz,12,2017,2018
Tom Lipinski,Trevor,11,2011,2016
Carly Pope,Tara Messer,11,2016,2017
Katherine Heigl,Samantha Wheeler,10,2018,2018
Gary Cole,Cameron Dennis,9,2011,2016
Leslie Hope,Anita Gibbs,9,2016,2017
Rebecca Schull,Edith Ross,9,2011,2015
David Reale,Benjamin,9,2011,2017
Peter Cambor,Nathan,8,2015,2018
Vanessa Ray,Jenny Griffith,8,2011,2012
Erik Palladino,Kevin Miller,8,2016,2016
Michelle Fairley,Ava Hessington,8,2013,2013
Eric Roberts,Charles Forstman,8,2014,2015
Ian Reed Kesler,Stu Buzzini,8,2016,2018
Brendan Hines,Logan Sanders,8,2014,2018
Max Beesley,Stephen Huntley,7,2013,2013
Glenn Plummer,Leonard Bailey,7,2016,2016
Suzanne McKenney,Judge Ralls,7,2016,2018
Conleth Hill,Edward Darby,6,2013,2013
Alan Rosenberg,William Sutter,6,2016,2016
Melanie Papalia,Amy,6,2014,2014
Eric Close,Travis Tanner,6,2011,2015
Malcolm-Jamal Warner,Julius Rowe,6,2016,2017
Jake Epstein,Brian Altman,6,2017,2018
Adam Godley,Nigel Nesbitt,5,2013,2013
Michael B. Silver,Craig Seidel,5,2017,2018
Stephen Macht,Henry Gerard,5,2014,2017
Megan Gallagher,Laura Zane,5,2013,2018
Rob Stewart,Tony Gionopoulos,5,2013,2015
Scott Michael Campbell,Father Sam Walker,5,2015,2018
Nitya Vidyasagar,Stephanie Patel,4,2017,2017
Billy Miller,Marcus,4,2015,2018
Pooch Hall,Jimmy,4,2011,2016
Benjamin Ayres,Gavin Andrews,4,2018,2018
Malcolm Gets,Professor Dunbar,4,2016,2016
Zeljko Ivanek,Eric Woodall,4,2014,2015
Michael Gross,Walter Gillis,4,2014,2014
Deborah Pollitt,Judge Dorsey,4,2016,2016
Zoe McLellan,Holly Cromwell,4,2017,2017
Al Sapienza,Thomas Bratton,4,2017,2018
Neemish Parekh,Simon Bandaru,4,2013,2014
Diane Neal,Allison Holt,3,2012,2014
Brynn Thayer,Lily Specter,3,2017,2018
David Alpay,David Fox,3,2018,2018
Amy Acker,Esther Edelstein,3,2015,2018
James McCaffrey,Gordon,3,2013,2018
Titus Welliver,Dominic Barone,3,2011,2015
Jacinda Barrett,Zoe Lawford,3,2012,2013
Tricia Helfer,Evan Smith,3,2015,2016
Robert Verlaque,Judge Gus Benjamin,3,2011,2013
Allan Royal,Judge Phillip Hopkins,3,2014,2014
Julian DeZotti,Devon,3,2011,2011
Jordan Hudyma,Cameron,3,2012,2012
Billy Parrott,Vincent Gibbs,3,2013,2018
Farid Yazdani,David Green,3,2016,2016
Ben Lewis,Seth Keller,3,2011,2011
Raven Dauda,Georgina Casey,3,2016,2016
Colin Glazer,Larry Marsden,3,2016,2016
Bruce McGill,Stanley Gordon,3,2018,2018
Adrian G. Griffiths,Guard #2,3,2016,2016
Shant Srabian,Judge Evans,3,2016,2016
Daniel Stolfi,Guard #3,3,2016,2016
Neil Brown Jr.,Clifford Danner,4,2011,2013
John Kapelos,Elias Gould,3,2017,2018
Kevin Hanchard,Colonel Mariga,3,2013,2013
Yanna McIntosh,Judge Pearl Atkins,3,2013,2013
Tony De Santis,Jury Foreman,3,2016,2016
Sharon Leal,Lisa Parker,2,2011,2014
Gina Holden,Monica Eton,2,2012,2013
Damon Gupton,James Quelling,2,2014,2014
Troian Bellisario,Claire,2,2015,2015
Michael Harney,Joe Henderson,2,2015,2015
Jay Harrington,Mark Meadows,2,2017,2017
Elisabeth Hower,Tess,2,2012,2013
John Finn,Lawrence Kemp,2,2012,2012
Lorry Ayers,Sloan Moseley,2,2013,2013
Isabella Hofmann,Joan Walsh,2,2015,2018
Donzaleigh Abernathy,Gloria Danner,2,2016,2016
Athena Karkanis,Marissa,2,2017,2017
Brandon Keener,Xander Epstein,2,2018,2018
Chi McBride,Terrence Wolf,2,2011,2015
